Link: https://yugioh.fandom.com/wiki/Yu-Gi-Oh!_BAM/Transcript

Contents 
 
 1   Series 1 - Alba Litora 
 Seto invited you to his training facility. You don't entirely trust him, but some more training would help you prepare for the Duel Arena.
 You have managed to impress Seto Kaiba! You follow him into the next room, where he takes another deck out of a bronze box.
 You have beaten Seto's bronze deck! An impressive feat. As he pulls another deck from a silver box, he shoots you a sadistic smile.
 You have inflamed Seto. His face is deformed by anger. Seto is NOT happy. Face contorted with rage, he motions for you to follow him into the next room.
 Glowering at you, a sadistic smirk frozen on his face, Seto adds new cards to his deck. You don't like it one bit. He's obviously got a trick up his sleeve.
 Seething with anger, Seto stomps into the last room. There, he grabs a golden box. You can hear his molars grinding as he slips a new deck out of the shiny case.
 Seto falls to his knees, his cards scattered on the ground around him. He mumbles something about how it is all impossible and how much he is reminded of Yugi's might. After a while, he looks up. "I can't believe you defeated me. Go fight in the Arena. You're ready." As you are leaving, he shouts "But there are others! Some even I, Seto Kaiba, cannot defeat!"
 
 Duel 
 You accepted my invitation. I'm surprised. Don't worry; I'll go easy on you. Here, I was about to throw this puny deck away, but let's see if you can beat it first.
 Not bad. You managed to beat my brother's old deck. Now, this one's pretty much the same, but much more balanced!
 It's true what they say. You truly CAN duel! But can you destroy these cards before they destroy you? Go ahead! Impress me!
 This baby is custom-made to hit hard early on and end with a big surprise!
 This deck is SO weak that even you could buy these cards!
 My sneaky monsters are invincible. There's no way you can destroy them! Bwahahaha!
 You think you're ready for the Arena? I very much doubt it. Here, duel me. Show me what you're made of.
 I'm surprised you got that far in my training program! Now I'm angry, and so are my monsters. Feel their wrath!
 My sneaky deck was no match for yours... But now I've perfected it. It's unbeatable!
 Raaaah! I don't believe it! You can NOT win! I will be the Arena champion, not you!
 The angrier I get, the more powerful my monsters grow! There's no way you can win!
 You've never seen combos such as I use in this deck! This, I guarantee.
 Thanks to KaibaCorp, I always have the strongest cards! Not so tough now, are we? You're never going to win in the Arena if you can't defeat me!
 
 11. Three's a "CROWd" 
 
 Story 
 While waiting for Yusei to come back, Crow challenges you to a few duels.
 Looks like you have time for one more duel with Crow!
 Hey - Yusei's back! When Crow tells him about your dueling skills, Yusei is impressed at how you've improved since your last duel - so it comes as no surprise that he would want to duel against you once more!
 Yusei has discovered that Devack is behind Akiza's kidnapping. The three of you head for his hideout outside of town.
 Two more B!-Ts and you'll be able to enter the hideout.
 Two down, one to go!
 You can now enter Devack's hideout... Oh wait! Someone's coming - prepare to duel!
 The three of you make for one unstoppable team!
 Now, where could Akiza be?
 
 Duel 
 I think I could learn a thing or two by watching you duel. Let's go!
 Would you care to oblige me again?
 I'm curious to see how much you've improved!
 It's me again - I'm really impressed, but I find it hard to believe that you could improve so much in so little time...
 Restricted area - Win duel to proceed.
 Restricted area - Win duel to proceed.
 Restricted area - Win duel to proceed.
 Why do I have to do everything myself? Oh, it's you again - I wasn't expecting you so soon! Ha a ha!
 
 11.1 The Ruin 
 
 Story 
 The door to the ruins swings open on rusty hinges and you step in, the flickering light of your makeshift torch keeping the darkness at bay. Now that you're here, there's no turning back, so you forge ahead in ancient corridors covered in strange, mystical symbols.
 These ruins are truly cursed! The shadows writhe and sigh around you. This is their world, and you will have to duel your way out of it.
 You keep bumping into locked doors, and every time the shadows giggle; or is it your imagination? You have to unlock these doors before you slip into insanity.
 The shade against whom you dueled has dissolved, but you still feel like someone is watching you. It's getting hard to breath, and with each step your feet feel heavier. You keep telling yourself that the exit isn't much farther...
 Your legs finally give out and you fall to the ground. Just when you're about to give up, you make out a dim light in the distance. Drawing upon your last ounces of strength, you get back on your feet and make a run for the exit!
 
 Duel 
 I summon thee, Dinosaurs! Survive the Rounds and get stronger and stronger! Devour this insolent whelp!
 Welcome to our Shadow Kingdom, human. You should know that we cannot be destroyed. Like the Sea Serpents, we protect each other!
 Our curse is as old as the world. Here, have a taste of these Rock cards. The Stone Dragon will destroy your spells and the Millennium Golem will obliterate your Life Points!
 The power of darkness cannot be subdued! Try and you will only get hurt! The same goes for the Reptiles.
 What do we have here? A new playmate? Are you a treasure hunter, little human? My Fish Monsters are eager to taste your blood!
 If you are hurt, my Monsters will not hesitate to attack you without respite! You will be crushed and feasted upon!
 Spells can destroy your Monsters, but they just make mine more powerful! Spells will 'spell' your demise.
 Fishes attack in packs. When one bites, they all bite! You will be fish food soon enough.
 We are as old as the Super-Ancient Dinobeast! You cannot protect yourself against its might! It will break your Immunity.
 Destroying a Sea Serpent will only make the others stronger!
 You are but a snack for the shadows! We will feed on your spirit! My Fish Monsters will feed on your Life Points!
 Sea Dragon Lord Gishilnodon, empower your followers as I am by the night!
 The master of the Rocks cannot be destroyed, for Stone grants a huge amount of Life Points! Try your luck, human!
 Reptiles do not fear pain! Every time they lose Power, they hurt you back! The shadows will take your soul!
 You can cripple these Monsters until they are destroyed, but you can never break the curse!
 Is your mind playing tricks on you? Look closely as I destroy everything you throw at me! Even your precious Immunity will not suffice!
 How long can you last? My Rock Monsters protect me and grant me enough Life Points to withstand anything!
 You know why I use cards with Spirit Protection? Because it makes me undefeatable!
 
 12. Versus 
 
 Story 
 The hideout is heavily guarded by... your friends?
 Yusei and Crow have darted ahead of you. What are you waiting for? Catch up with them!
 Who was that? Could it be Devack?
 Anyways, thanks to this stranger, you've lost sight of Yusei and Crow.
 Nothing to do but keep moving on...
 What has Devack done to your friends? They looked... brainwashed?
 You've found Yusei and Crow - but it looks like someone got the best of them because they're lying on the ground, clutching their heads.
 Devack's coming - better be prepared! 
 You got rid of Devack and you managed to free Akiza. 
 Yusei and Crow have caught up with you - but there's no time to celebrate, because the hideout's self-destruct mechanism has just been activated!
 
 Duel 
 Devack said you'll soon be ours!
 Devack... said... capture you!
 I don't know you! Prepare to duel!
 Yeah, right. Friends? Us?! Ha ha ha!
 I feel I know you from somewhere but... aargh! Must.. attack... you!
 You're a feisty one, aren't you?
 Restricted area - Win duel to proceed.
 Restricted area - Win duel to proceed.
 I will take over your mind!
 
 13. Self-Destruct 
 
 Story 
 No time to waste - get moving!
 There are Hologuards everywhere, even though the place is about to explode!
 Here comes another one!
 You got rid of the Hologuards. Now on to the B!-Ts to stop the self-destruct sequence!
 Somehow, you're not sure hacking the terminals is going to cut it...
 Looks like you were right: the self-destruct sequence is still active.
 Yusei and Crow urge you to get out.
 But as you turn around, a bulky figure appears!
 People around here sure like to keep their identities concealed... 
 Maybe you'll find out who this is someday.
 But for now, unless you want to be buried under tons of melting steel, you'd better get out of here with Akiza, Yusei and Crow! 
 
 Duel 
 Back-up! I need back-up!
 This is the end of the road for you!
 You belong in jail!
 Restricted area - Win duel to proceed.
 Restricted area - Win duel to proceed.
 Self-destruct sequence activated - Win duel to abort.
 Self-destruct sequence activated - Win duel to abort.
 At last, I get to meet you! Now I'll see for myself just how strong you've become!
 Restricted area - Win duel to proceed.
 You're not wanted here
 
 14. Wanted 
 
 Story 
 You escape the burning building - only to find it surrounded by B!-Sec! Yusei and Crow urge you to run away with Akiza as they handle the Hologuards.
 A few hours later, when you're back in town again, you see that the walls are covered with posters of you!
 Have you become wanted? Your former friends sure seem to think so!
 You've spent so much time with this person...
 It's sad it had to end like this.
 Could there be a way to make them snap out of it?
 Maybe if you could find who was controlling them...
 Funny thing, that they would only attack you...
 Maybe the person controlling them is channeling the energy of your friendship to get to you?
 Akiza is safe - for now.
 But you can't help thinking about the dire fate that has befallen your friends...
 
 Duel 
 Hey guys! Over here! I've got { Player }, the fugitive!
 Well, well, well. We meet again, {Player}!
 I remember you, {Player}. Prepare to duel!
 The fugitive is here!
 I'm taking you back to Devack, {Player}!
 Soon, {Player}, you will join us!
 Got you now!
 It's just a matter of time before we get you, you know
 
 15. An Unexpected Ally 
 
 Story 
 Back at your place, you find Joey waiting for you. He's got a plan to get Yugi back: he'll pose as a B!-Sec Hologuard bringing you into custody!
 After all, you're officially a fugitive now, aren't you?
 You need only find a proper uniform for Joey...
 But you'd better warm up a bit by obliging Joey to a few duels!
 Joey wonders where he could find a B!-Sec Hologuard uniform...
 You hate even considering it, but Seto might just be able to help you with this.
 The both of you reluctantly head for Seto's training studio...
 Seto's not going to go easy on you!
 Interesting combos!
 Finally - you got that B!-Sec uniform!
 Now it's time for the second part of Joey's plan - hopefully, it will work!
 
 Duel 
 How about warming up with a couple of duels?
 I'm impressed - BAM truly feels like a second nature for you...
 I'll give you what you want - if you give me what I want!
 You show improvement, I'll give you that.
 I was just getting warmed up, but now it's for real!
 No trespassing. May I remind you that this is MY place?
 Hey - don't go in that room!
 This is private stuff, you know!
 
 16. Undercover 
 
 Story 
 You got past the entrance of B!-Sec   [ sic ] HQ.
 Since you don't have a B!-Sec access card, you'll have to hack four B!-Ts to make the teleporter operational.
 Joey seems to enjoy wearing the B!-Sec uniform.
 You tell him to take his role a bit more seriously, unless he wants to blow his cover.
 You sweat a little each time you hack a B!-T. Now more than ever is not the time - nor the place - to get caught!
 You're getting closer!
 Hopefully Yugi is still inside!
 Great job! You've rescued Yugi!
 Now get out of here!
 You feel relieved now that Yugi's back, because, to be honest, Joey's dueling skills need a bit of polish...
 
 Duel 
 Restricted area - Win duel to proceed.
 Restricted area - Win duel to proceed.
 You don't look like you have the required access codes to be here!
 Locked vault - Win duel to open.
 Locked vault - Win duel to open.
 You have no business here.  I'm reporting you!
 I won't let you release our prisoner!
 Restricted area - Win duel to proceed.
 When will you guys give up? I'm getting tired of this
 
 16.1. No Pain, No Gain 
 
 Story 
 The news is all over Alba Litora! Now that people know that "The Organizer" hasn't set up a real BAM Tournament, the duelist community organized its own! The Tournament is approaching rapidly, so you and your friends have decided to train in the BAM store basement.
 After showing Akiza and Joey your newly-earned BAM skills, Crow suggests trying out the Booster Packs. Everyone gets one. Crow opens his.
 Even though Crow's boosted deck was rough, you made it! Akiza and Yusei open theirs. Akiza challenges you first.
 That was a close one! Akiza's game improved a lot with the Booster Pack! Yusei seems surprised with his pack: "I've got three BAM! Legends." He raises his fist in the air, shouting, "Bring it on!" 
 Yusei is distressed by his defeat. You, on the other hand, are pretty proud of your victory! Yugi moves forward with his own Booster Pack. He opens it and slams it on the table. "Let's play," he says. He didn't even look at the cards he got. You find that both surprising and unsettling.
 Yugi is an incredible duelist, and his Booster Pack was very strong! But even with the Heart of the Cards and his mighty BAM, you have prevailed! Yugi suggests a Booster Pack to upgrade your deck for the upcoming BAM Tournament.
 
 Duel 
 Do you like my Alligator's Sword? It's got Sneak, which can defeat ANY of your monsters! Now, let's hope it's not crippled before its turn!
 Hey! We're not finished!
 I heard you've improved. You were already good... No matter. All your Monsters are going to be crippled by my Darkworld Thorns! It's showtime!
 Look at all these cards! I've got Sanga of the Thunder in my Booster Pack! If its attack power isn't enough, it'll share it with his partners! Awesome!
 Okay, maybe it didn't fit in my other deck, but what about this one?
 I've bought another Booster Pack! Now, thanks to my Beasts and Beast-Warriors, I can't lose!
 Acid Crawler's pretty good. Giant Scorpion of Tundra is great too. Okay, let's try this Drain-Empathy hybrid!
 There was a Thought Ruler Archfiend in my Pack! It'll break through your Immunity and steal your Monster's power with Osmosis!
 Why can't I win? My cards are super strong!
 What do you think of Empathy? I'll try it now! I hope your cards can't hurt me directly.
 Even if I get a lot of Backfire, this Dragon Deck constantly boosts itself. But don't worry; I'll go easy on you! I'll only use this Koumori Dragon!
 Whew, that was rough! I'm not joking around anymore. Let's see what you can do against my new Stone Dragon. It destroys all Spells on the field, but my deck doesn't have any!
 That does it! Enough is enough! In addition to my two other BAM! Legends, I add Hyper Psychic Blaster to my deck! Your White Holes and Waboku are gonna be useless!
 So many cards! Raigeki, White Hole, Life Absorbing Machine! What if I mix it with my other Booster Pack?
 I don't even know what's in my Booster Pack, but I'm adding three Dark Magicians and three Summoned Skulls to my deck!
 I'M STILL HERE! I've bought ALL the Booster Packs available in the store. With all these BAM! Legends, there's no way I can lose
 
 17. Hackers 
 
 Story 
 During his captivity, Yugi learned that the B!-Sec Hologuards have been corrupted by a virus.
 Before leaving B!-Sec HQ, it might be a good idea to try and find how you could solve that problem... unless you want to spend the rest of your days with B!-Sec on your case!
 You didn't even know there were level 3 Hologuards! 
 These guys mean business!
 Keep em coming, then!
 Hopefully, this ends soon, because you're getting exhausted.
 Marik! So he's the one behind all this!
 But why reprogram B!-Sec so they would try to arrest you?
 What's so special about you...
 ... that Marik would go to such lengths to try and capture you? Here he comes again!
 Marik ran away - again.
 Just as you hit your last BAM, a powerful blast knocks both Yugi and Joey down. 
 A bulky stranger appears...
 
 Duel 
 I have explicit orders to arrest you!
 Restricted area - Win duel to proceed.
 I've dealt with worst troublemakers before!
 Restricted area - Win duel to proceed.
 In case you hadn't figured it out yet, I've tampered with the source code controlling the Hologuards. Just thought you should know before I wipe the floor with you!
 You're no match for me!
 Restricted area - Win duel to proceed.
 Locked vault - Wind  [ sic ]  duel to open.
 Stay away from the boss!
 Did you really think I was going to let you go after telling you my little secret?
 We meet again
 
 18. The Stranger 
 
 Story 
 The bulky stranger is none other than Roman Goodwin!
 Time to show him what you're made of!
 You've won, but Roman doesn't seem to suffer from it in the least. He snaps his fingers and several of your brainwashed friends appear, running at you!
 So Roman and Devack have been controlling your friends all along.
 Hopefully, your friends will come to their senses.
 Another one...
 Your victory is bittersweet.
 When will they snap out of it?
 Here come Yusei, Crow and Akiza! They've heard of your  arrest and decided to come and lend you a hand.
 Oh no! Has Akiza been brainwashed as well?
 
 Duel 
 You'll get the same treatment your friends got. Then your power will be mine!
 Help... me, { Player }!
 I... don't... mean... any... harm... but I have to destroy you!
 There's something you should know, {Player}. Roman is... aaargh!
 My mind... controlled by Ro... Aargh! Must... FIGHT!
 Save me, {Player}! Break Roman's hold over my m... aargh!
 Aargh!
 Help... me... {Player}. Can't... control... myself! Must... defeat... YOU!
 I hadn't forgotten about you!
 Locked vault - Win duel to open.
 
 19. Brainwashed! 
 
 Story 
 Akiza is coming towards you.
 You can't do anything but duel against her and hope this makes her snap out of it!
 Thank goodness, a single duel was enough to bring Akiza back.
 While Yusei and Crow tend to her wounds, you take care of Devack, who has just showed up to taunt you once more!
 Devack owes you some explanations - that's why you're running after him!
 Brainwashed friends, corrupted B!-Sec Hologuards... somehow, you're the missing link!
 Maybe Devack holds the key to it all?
 This last duel almost caused you to lose sight of Devack.
 You've won this one against Devack.
 But where's Roman? You realize that Devack was just a diversion so Roman could get away!
 
 Duel 
 Getting... harder... to... fight back... HURRY UP!
 This time, it really is the end of the road for you!
 What were you thinking, storming our HQ?!
 I'm growing tired of your games... Prepare to duel!
 Surprise!
 Restricted area - Win duel to proceed.
 Oops! I didn't think I'd get caught! Er... let's duel!
 Locked vault - Win duel to open.
 You will join us or be destroyed!
 
 20. Final Chase 
 
 Story 
 You chase Devack down the corridors of B!-Sec.
 This is going to be epic!
 Devack is such a coward! Why does he keep running away?
 These Hologuards are no match for you!
 You wouldn't have gotten this far without powerful decks... and Yugi's coaching!
 Devack proved to be a surprisingly strong duelist in this one!
 Nevermind, here comes another wave of Hologuards!
 This is getting ridiculous...
 Watch out, here comes another one!
 You're catching up with Devack...
 Devack managed to slip away again...
 Great duel!
 This Hologuard sure could use some training lessons...
 Actually, that's not a bad idea... When this is all over, maybe you could open your own BAM studio? Devack is waiting for you down the hall. He looks serene - almost too much so.
 Ouch! What was that prick! Your head is spinning and your mind becomes filled with hatred... what's happening to you?
 
 Duel 
 STOP THE FUGITIVE!
 STOP THE FUGITIVE!
 Restricted area - Win duel to proceed.
 That's it! Show me what you've got!
 STOP THE FUGITIVE!
 STOP THE FUGITIVE!
 Restricted area - Win duel to proceed.
 I'll have the last laugh... maybe not now, but soon!
 STOP THE FUGITIVE!
 STOP THE FUGITIVE!
 Ha! Don't you dare sneak up on me like that!
 Restricted area - Win duel to proceed.
 You'll never get me!
 Perfect! You fell into my trap! Here's a little parting gift for you... Hope it doesn't sting too much! Ha ha ha!
 
 20.1. Ghouls Hideout 
 
 Story 
 One of the BAM! Terminals you hacked revealed the location of the Ghouls' hideout. Gathering your courage, you stealthily head inside. 
 You hit Devack really hard, but reinforcements are on the way. You see a familiar silhouette in the distance, dark and bulky. Roman...
 What's going on? Since when are Roman and Devack in league with the Ghouls? You hear screams and turn around. What you see can only be described as an army of Ghouls. 
 You BAM! Marik pretty hard, but he escapes further into the complex. You dash after him, but quickly find yourself surrounded by lesser Ghouls. You don't have time to bother with such small fry. 
 All the Ghouls are down. You rush to the last room, and when you enter, your eyes widen. The three great duelists seem taller and scarier in the dimly lit room. They're standing around a ritualistic dueling field, waiting for you. Slowly walking up to them, you scan every corner for a trap. They look at you, proud and strong. Devack sits down; he will be your first opponent. 
 The strength of your BAM! seems without equal. Devack was no match for it. He furiously punches the table. Roman pushes him out of the chair and takes his place. 
 Roman's brows knit. He closes his eyes and, without a word, gets out of the chair to let Marik sit. 
 Marik isn't laughing anymore. His last Life Points are depleted. The three great duelists have fallen. You've won. Marik stands up, staring you straight in the eyes, a macabre smile on his lips. Suddenly, the lights go out! You jump, startled and ready to fight. From the utter silence slithers in a cryptic whisper:  It does not matter. We are the Ghouls. Even if you bury us, we will get out. We are the Ghouls. We will meet again. When the lights come back on, you're alone. Your opponents have inexplicably vanished. 
 
 Duel 
 Wha-?! What are you doing here?!
 How did you get here? Never mind, I'll shock you with my Thunder Monsters!
 Huh?! Sound the alarm! I'll hold him off with my Thunder deck!
 That's just crazy!
 Calm down, all of you! Take him down! You don't stand a chance against my Sanga of the Thunder.
 I'll make sure that he doesn't take one step in that room! 
 You? Ha ha ha! You're insane, coming here! Now, you're mine! Behold the Ultimate Thunder deck!
 He's got Devack! Take him away; I'll cover your escape with spells! 
 You don't scare me. Bring it on!
 My spells cannot be defeated. You sure you wanna try?
 So you've come. I was wondering how long you'd take. Go on, show me your BAM! for mine is mighty!
 You don't stand a chance. Here, you're in our world. Behold the power of darkness!
 Gasp... You're here already? Damn it!
 Ha ha ha! You don't understand, do you? You CANNOT win! My monsters will cripple yours!
 Ah! So you're what all the fuss is about. I don't like being disturbed while I'm practicing. Would you like to practice with me?
 What? He's got Marik? Who are you?
 Stop it! Get away!
 I'm the last one? It's all on me, now. I won't fail. Winged Beasts, forward!
 Ugh! Young one, your end has come. Ready to meet your doom?
 Devack is a fool for underestimating you! I won't make the same mistake. My spells are ready; are yours?
 Ha ha ha! That makes absolutely no sense! It's so absurd, it's hilarious! You? Here? Trying to beat us all? That must be a joke! A really, REALLY bad one!
 
 21. Big BAM - Part 1 
 
 Story 
 Yusei, Crow and Akiza have come to check on you... but you attack them!
 You've defeated Yusei! Why would you do such a thing?
 You have a terrible headache...
 You've won the duel against Yusei, but it looks like he's still up. You hear a voice in your head commanding you to go after him! 
 Is someone controlling your mind? Why do you feel so angry all of a sudden?
 You've badly wounded Akiza... As you extend your hand to help her up, you feel a sharp pain in your skull! 
 Hacking B!-Ts is child's play, now.
 Now it's Yusei's turn to be knocked down. You feel sad and would like to help, but you feel compelled to run away...
 
 Duel 
 { Player }, what happened to you!
 {Player}!
 {Player}! Fight off Devack's mind control!
 Maybe if I win this duel...
 We are your friends!
 I'm not giving up!
 {Player}, it's me, Akiza!
 {Player}, snap out of it!
 I won't let you down, even if it means...
 
 22. Big BAM - Part 2 
 
 Story 
 That sting! Devack must have stung you with a neuro-needle during your last fight! He must be the one controlling you and forcing you to turn against your friends...
 Such a horrible feeling...
 Oh, no! Not Joey!
 You feel helpless...
 Though it caused you great pain, you did all you could not to hurt Yugi... hopefully, he'll be able to help you out of this mess!
 When will it stop?
 Who would've thought you'd cause so much pain to the ones you love?
 To think this was one of your friends!
 There must be a way out...
 This is an evening you'll remember forever... if you make it out alive and sane, that is!
 
 Duel 
 { Player }, I'm your friend!
 Whoa! What's going on? Why would you want to duel with me now?
 {Player}, stop!
 That glint in your eyes... something's wrong with you!
 You broke Devack's hold on me, but I see he's controlling you now!
 Let us help you fight back!
 {Player}, I'm your friend and I won't let you down!
 Think of all the good times we had together, {Player}!
 I won't give up on you!
 What? Aren't you supposed to be on our side now?
 Let's duel!
 
 22.1. A Ray of Hope 
 
 Story 
 A few days after the events in the Ghouls' hideout, you contact Seto Kaiba to ask for his help. Even if he irritates you, you need his resources to find where your nemesis went. Not so long after you got a hold of him, Seto asks you to meet him.
 Seto explains that he found Devack outside the city, but he also says that it feels like a trap. You agree with him; Devack tends to be cunning. Seto offers his help at one condition: you must defeat him once more!
 You have defeated one of Seto's best decks. He agrees to accompany you to the outskirts of Alba Litora. You walk on the wooden pier that leads to the location Seto told you about when you see Devack, alone. You yell at him to stand down, but he's already getting his deck ready.
 As you strike the last blow, Devack screams for backup. Roman appears with a bunch of Ghouls. "I'll take care of the weaklings, you take Roman" Seto says. You nod and rush at your enemy. 
 When Roman's Life Points reach zero, you hear Seto scream. You turn in time to see him removing a brainwashing dart from his neck. Devack falls unconscious with a dark grin. You have to act fast; the Ghouls are fleeing one way and Seto is going crazy in the other.
 The needle that Devack threw at Seto seems different than any other you've seen. He's not only brainwashed, he's insanely violent.
 With your help, Seto fights off the poison. Looking around, you see all these men on the ground. Has this war happened because of you? Is your natural ability with BAM a gift or a curse? While you think, your ally calls BAM Security. Devack, Roman and the rest of the Ghouls must answer for their crimes before the Alba Litora Justice Court. Some peace, at last.
 You took down all the Ghouls. Now it's time to bring them to justice!
 
 Duel 
 At last! I've waited long enough. Let's duel now to make up for lost time!
 Well played. You've improved. But if you truly want that info, you'll have to beat this incredibly expensive deck.
 I don't hang out with weaklings. This deck is one of my favorites. You couldn't even think about buying it; it's much too expensive for the likes of you.
 Oh no! I'm surprised to see you here. Or am I really? I knew you'd be coming, and I've got my Sea Serpents ready! This time, when you strike a Monster down, the others become Immune!
 Don't you know that the Sea Serpents are like us, like the Ghouls? They look out for each other. You don't stand a chance!
 Come on! I'll play my best Thunder cards with my Sea Serpents. Try to deal with that!
 I'll take you down. You'll fall into the Abyss!
 The darkness of these exclusive cards will surround you and devour you!
 The more you attack my cards, the closer to annihilation you get! Most of them have after-death effects.
 Stop picking on us!
 Like the Rock, we are immortal! Because, you know, the Rock Monsters have a lot of Life Points.
 We are the Mountain, we are the Earth. You cannot hope to get to our Masters!
 You cannot defeat Lord Roman! He is invincible!
 We refuse to lose to the likes of you!
 They told me to watch your exit. I'm not budging one inch! I'm solid like my Rock Monsters!
 What? Alright, alright, I'm ready! Bring it on! My Millennium Golem is like Roman, it inspires all my other Monsters!
 Look to your friend! The same thing will happen to you! I'll crush you with my Millennium Golem!
 Run! Go away! He's back!
 I fear nothing as long as I have my Rock cards with me! They grant me a really huge amount of Life Points! I will not fail!
 I'll hold him off with my Dinosaurs! Escape! Flee, my brothers!
 You'd better destroy us right now! Because, like the Dinosaurs, the more you wait, the stronger we get!
 I'll put an end to you! Even if it's the last thing I do...
 RAAAAARGH! It's in my head! Do something, you worthless excuse for a duelist!
 The... The voices are asking me to sacrifice my cards! To sacrifice my life to the Ghouls. I'll sacrifice yours instead!
 My brain is melting! SO MUCH PAIN! If I'm to get my mind back, I have to defeat you! I don't care if I lose all my cards doing it.
 
 23. Big BAM - Finale 
 
 Story 
 You're just too strong! Even your strongest friends can't stop you!
 Wait a minute - is that it? Could it be that you have unique BAM potential, and that's why everyone's out to get you...? That would make sense.
 A sharp pain in your brain brings you back to reality: someone else is controlling your mind, and this person is commanding you to attack Seto!
 Amidst the confusion in your brain, your memories start to resurface...
 You've always felt different.
 Ever since you started training for the BAM tournament, your BAM has been getting louder and louder...
 It's as though you could channel the sound waves to create a powerful sonic impact...
 With every BAM, you can feel the rush in your blood, in your brain, in your heart... could it be genetic?
 You don't know much about your family...
 Yugi! Yugi is coming, and he has a fierce look in his eyes! Maybe this time he'll manage to make you stop!
 Yugi managed to bring you back! Exhausted, you fall to the ground, unconscious.
 
 Duel 
 No surprise the others failed... Guess it's up to me to make you come back to your senses!
 OK, I admit it's going to be a bit harder than I thought - then again, I DO like a challenge!
 Whoa, talk about bad timing!
 How about this deck?
 How about that one?
 I won't give up!
 I'll win!
 I.. aaargh!
 I get the feeling I'm interrupting something here... 
 { Player }! I'll save you. I never expected Seto to show up and help us!
 
 23.1. The Insanity 
 
 Story 
 You have successfully hacked the corrupted Hologuard and breached the techno-virus that Marik planted on him. In Augmented Reality, you navigate through Marik's security. None of the data you see makes any sense for now. You'll have to decrypt it on the fly, since there's anti-hacking security homing in on you!
 You just realized that Marik is in Augmented Reality too, and the both of you are playing a game of hunter and prey. The good news is that during the duel, you decrypted the mainframe's binary code.
 Marik is right: Augmented Reality is a dangerous way to explore a computer. Still, you have to find the Ghouls' whereabouts and bring their whole organization down once and for all!
 You have gained access to Marik's personal files. Security is tight, but you have to get in!
 Marik's plans are being downloaded to your computer. Now you'll know what he's up to!
 The logs are archived just a little bit further. You're very close.
 You finally gained access to the Ghouls' logs and sent the incriminating evidence against Marik to the local authorities. They're already on their way. The nightmare is finally coming to an end.
 You destroyed Marik's avatar again. All that's left to do is hack his password in order to steal the funds for his evil plan. Where does he get all that money anyways?
 
 Duel 
 10111-00001-10010-01110-01001-01110-00111.00000-01001-01110-10100-10010-10101-00100-00101-10010. 
 00111-E-10100-00000-O-10101-10100-00000-O-00110-01000-E-10010-E 
 R-00001-01001-10011-E-00000-T-01000-E-00000-00110-01001-R-E-10111-00001-01101-01101. 
 00001-L-E-R-T.C-O-00100-E-00000-R-E-00100. 
 Y-O-10101-00000-10111-I-L-L-00000-01110-O-T-00000-E-10011-C-A-10000-E. 
 Trying to hack us? I don't think so! I'll take you down with my Sneak Monsters and my Dragons.
 Exterminate virus.
 Firewall malfunction. Annihilate threat.
 Found you! You were trying to hide in these folders, eh?! There is no hiding from Volcanic Doomfire; it'll blow everything up if you touch him!
 Data compromised.
 Error. Error. Error.
 System parameters corrupted.
 There you are! You know, the noise feedback from a lost duel would turn your brain to mush in Augmented Reality! And I'll make sure that it does!
 What are you doing to my bank account? You're actually trying to steal from me? HA HA HA! 
 Wrong ID. Enter admin info to reset password.
 D-D-D-D-Danger! D-D-D-D-Destroy!
 You're actually trying to hack my computer? You're funny!
 Restricted folder. Raise security level to sixteen.
 Security breach. Enable the Counter Worm.
 You're trying to access my lord's plan folders? How clever. Do you know how much I hate you?
 HA HA! The Counter Worm has been activated! In the computer's mainframe, my deck has infinite Power! My Dragons work together toward your doom!
 Hacker detected. Perform data backup on separated drive and wipe memory clean.
 What are you doing here? Damn it! Activate lockdown sequence!
 Threat level raised from Red to Black. Danger!
 Work, you stupid program, work! Why aren't you opening? He's here!
 Access limited to admin. Please enter password.
 How are you doing that? Nobody's that strong! But, against Empathy, strength doesn't cut it.
 Wrong username. Modification denied.
 Huh? What?! HE'S REACHED THE ANTI-HACKING SOFTWARE! STOP HIM!
 Downloading update. Process corrupted. Searching for solution. Error.
 No way! You're not getting anywhere near the Anti-Hacking software! 
 Transfer computer logs to secure drive.
 Oh, no you don't! You're not getting access to those logs on my watch!
 Last resort hacking countermeasure activated.
 COME BACK! We're having so much fun! HA HA HAAAAaaaa! I'll destroy you slowly, one Cripple at the time, to see you suffer on my computer's screen! Forever!
 
 24. Is It Really Over? 
 
 Story 
 It's a few moments after dawn when you wake up, surrounded by all your friends. Relieved that you're now feeling better and no longer brainwashed, they leave you to rest. You go out for a breath of fresh air, when suddenly... Marik shows up for one last duel!
 This Ghoul was no match for you!
 You'll make Marik pay!
 Piece of cake!
 Ghouls are not welcome visitors here!
 Marik seems exhausted... third time's the charm! But he runs away as Ghouls rush you.
 They're just no match for you.
 This one's down for the count.
 Next in the line: Marik!
 Marik has been defeated. He won't cause any more trouble. And B!-Sec should give you a break, now, leaving you plenty of time to ponder and reflect: why were you gifted which such amazing BAM skills?
 
 Duel 
 This is going to be epic!
 Your end is nigh!
 I thought no one would notice me... But you did, so I guess we'll have to duel it out, right?
 You won't survive this fight!
 I'll stop you!
 You should give up now!
 Surrender now!
